f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,Label
-0.429334,1.016136,1.382349,0.471127,0.81106,1.476301,0.735059,0.857442,1.548766,1.636393,0.242656,0.534828,1.122115,0.943702,1.037719,-0.459704,-0.159245,1.522897,1.068243,0.879139,0.16097,0.533255,0.976343,0.097613,0.402636,0.88893,0.985384,0.484628,1.162021,1.1474,-0.086739,1.457085,1.244887,0.812956,0.658215,1.075204,0.960173,0.597801,1.442822,-0.227116,3.820798,4.3215,4.096553,4.434816,3.492412,4.005501,4.637666,3.447832,0.611789,0.481132,0.883514,0.896892,0.763694,0.589566,0.74847,0.645907,0.705392,1.375635,0.178984,0.873745,0.296049,1.599746,0.760085,0.149457,phishing
0.144074,0.100324,0.290308,0.428503,0.546777,-0.045098,-0.469109,0.812218,3.213451,2.610402,3.164967,3.520598,3.818129,3.152775,3.516852,2.495679,0.223844,0.089244,0.394156,0.965037,0.35245,-0.181961,-0.328547,0.980601,0.471207,0.441637,0.085321,0.360538,-0.204132,0.414239,-0.288692,0.07832,-0.049302,-1.225815,0.083954,-0.16449,0.145325,0.240775,1.035569,0.377119,0.390351,0.463026,0.632314,0.444426,0.366771,0.560061,-0.851985,1.180073,0.955378,0.337711,-0.395853,0.784658,-0.072244,0.480228,-0.337308,1.241883,-0.408998,0.271044,-0.714984,0.22145,0.048622,0.751733,0.048579,0.752381,probe
0.785126,0.331468,0.58339,0.860088,0.546016,1.086787,1.675841,0.530117,0.591773,0.346532,0.650927,-0.162169,1.214703,0.119626,0.357162,0.757716,1.339845,0.335584,0.635998,0.852085,0.41779,0.665781,0.004276,0.482539,1.273705,1.087049,0.520306,0.264116,0.624437,0.061353,0.631454,0.535484,0.519028,0.65648,0.96155,0.25261,1.150943,1.226362,1.709881,0.853348,4.782866,4.5594,4.205697,3.572315,4.522863,4.22788,4.924309,4.453094,1.195119,0.459762,0.830065,-0.145621,0.969527,1.267996,1.346366,0.560283,-0.096184,0.478078,0.684973,0.903964,-0.193247,0.672952,0.253127,1.370931,phishing
1.215547,1.637829,1.639495,1.27953,1.014593,0.970604,1.495738,0.238043,1.41043,0.898685,0.424787,0.308101,0.072472,1.094021,1.705105,0.615366,0.455711,1.38381,0.891075,1.404464,0.40087,1.133662,1.65683,0.367535,0.695657,0.677284,1.177288,1.407292,0.533205,1.964124,0.865416,0.584559,1.482452,0.90303,0.6707,0.59594,1.785993,0.39275,1.346623,0.474765,0.55977,0.803126,1.049441,0.09987,0.595005,1.303091,1.30105,0.709352,3.861116,4.486989,4.76509,4.471699,5.022422,4.268608,3.796912,4.122343,0.840691,0.52345,0.606181,1.272772,0.474448,0.2401,1.204485,1.130426,apt
0.416444,0.254645,0.123193,-0.711579,-0.63608,0.981384,-0.023476,0.674529,2.318635,2.568914,3.345388,2.993875,3.28195,3.033865,2.946548,2.73398,-0.297301,0.871216,0.945289,-0.227416,-0.256836,0.083502,0.393196,0.158182,0.464784,0.217838,0.188416,1.325885,0.003659,0.977976,0.891088,0.466842,-0.626759,0.253976,0.008387,0.249041,-0.238335,0.580316,0.683243,0.766511,0.06802,-0.236741,0.398257,1.030233,0.271225,0.443534,0.134284,0.013438,0.536224,0.19227,0.421585,0.468378,0.396383,0.491035,-0.143853,-0.171313,0.22082,0.231647,0.004955,0.34845,0.648698,0.77438,0.875518,-0.351661,probe
0.54529,0.992271,0.419851,0.570507,0.117848,0.903335,0.760662,-0.06618,0.533558,0.827063,1.226698,0.263158,0.704559,0.344922,1.166325,0.539272,1.073461,0.678742,0.073249,0.808518,0.307009,1.34373,1.658195,1.126966,0.551724,0.850027,0.970551,1.328079,0.755245,1.023675,0.084376,0.948796,0.452838,0.85927,0.372833,1.025158,1.127109,0.735151,0.45029,1.098258,1.540769,1.704734,1.018149,0.965198,0.248151,1.431245,-0.205274,1.376234,4.401984,3.295623,4.541478,4.319594,4.188072,4.26856,4.381459,4.380129,0.175952,1.021305,0.669165,1.554091,1.227028,1.277661,1.677724,1.171202,apt
0.817474,0.659236,0.681581,1.264402,1.396467,0.415258,1.578144,0.286218,0.568016,1.980047,1.00636,0.54433,0.958768,1.157506,0.99181,1.416194,0.450653,0.545781,0.439414,0.466201,0.859094,0.361317,0.970791,1.124737,0.289823,0.556485,0.610294,0.741313,0.765918,1.247403,1.280872,0.476209,1.151258,1.458718,1.384292,0.932192,0.815546,0.208372,0.654106,0.167714,1.353053,0.721313,0.801108,0.562146,0.205369,1.16064,1.065908,1.260115,3.601499,4.983449,4.333472,4.739807,3.203993,4.574594,4.35692,4.2907,0.795773,0.571753,0.204473,0.271044,0.852069,1.430134,1.338086,0.943648,apt
0.248705,0.710794,0.160925,0.528986,-0.227867,0.680434,0.108333,-0.050522,-0.15246,-0.188065,0.143338,1.034382,0.070505,-0.634127,0.52446,-0.141415,3.676663,3.120515,3.186696,3.84879,3.587978,2.74913,2.815334,2.507412,1.531449,-0.028218,0.886416,0.120476,-0.125935,0.369702,0.213001,0.720844,0.726473,0.094437,-0.287979,-0.178724,-0.667106,0.236493,0.35469,-0.154273,-0.208643,0.352762,0.07562,0.264182,0.194749,0.471929,0.105624,0.140065,-0.486809,0.33735,0.399911,0.280035,1.220325,0.43325,0.289585,0.584615,1.310789,0.473725,-0.640568,0.554426,-0.035656,-0.505114,1.123903,1.026651,r2l
-0.341803,0.447681,-0.035473,-0.020222,-0.08563,-0.122103,0.386015,0.346511,0.111098,-0.026875,0.154779,0.018449,-0.047556,0.084526,-0.110289,0.063066,0.051055,0.150734,-0.154784,0.177534,-0.226578,-0.143142,-0.132231,-0.268013,0.253916,-0.242263,-0.174729,0.313852,-0.142646,-0.047036,-0.253007,0.208238,0.211684,0.184736,0.134382,0.018397,-0.131094,-0.203742,0.322476,0.191201,-0.173326,0.009958,-0.075029,-0.282053,0.044413,-0.103873,-0.238134,-0.369783,-0.390951,-0.092857,-0.021274,-0.218825,0.162685,-0.016387,0.144221,-0.045728,-0.196779,0.028529,-0.315669,0.13486,-0.234287,0.229558,-0.084614,0.265633,normal
0.522005,0.421939,0.343053,-0.060156,-0.923725,0.723476,0.020022,0.76632,3.198264,3.580116,3.400852,1.930887,3.316703,2.885346,3.564255,3.306043,0.511336,0.117491,-0.170673,0.045201,-0.569952,-0.025655,-0.418872,-0.406983,0.292415,0.480322,0.225693,0.015544,-0.186334,0.097263,-0.13,0.211726,-0.444689,0.555593,-0.015164,0.409316,0.63925,0.387542,0.599607,-0.689988,0.018215,0.736385,0.469153,1.071808,1.006971,0.374816,0.12661,-0.191297,0.025886,0.056289,-0.026962,-0.173252,0.420709,1.003488,0.659966,0.094911,0.696313,0.395993,0.221683,0.193595,0.150027,0.53298,0.302852,-0.08779,probe
0.468097,1.00523,1.356574,0.290089,0.722712,0.437452,0.434563,0.602971,-0.233459,0.458452,0.682841,0.093106,0.685834,-0.297805,0.522105,1.083981,0.381634,0.03982,-0.161312,0.655736,0.897607,0.454758,0.271339,-0.388908,3.635813,3.26983,3.295705,4.307387,2.769276,2.829509,3.684097,3.40661,0.24654,0.602693,0.595159,0.041863,0.213736,0.502301,0.555184,0.697464,0.217576,0.636172,0.907656,0.501087,0.433727,0.374005,0.202176,0.057909,0.345838,0.68286,0.07988,0.44607,0.393854,1.280013,0.80525,0.797954,0.89402,0.234438,1.099541,0.551627,0.459901,-0.066628,0.299274,-0.314673,u2r
1.046475,0.040735,0.830914,0.432778,0.536414,0.714999,0.455946,0.188488,0.114588,0.709041,-0.375782,1.235174,0.53932,0.328172,0.599738,0.212566,0.399878,-0.029275,0.648789,0.444695,0.564361,1.147413,0.118106,0.422002,2.836863,3.827514,3.572132,3.587806,3.509187,3.319815,4.703213,3.597197,0.613433,-0.032739,0.878298,0.424441,0.680616,0.88605,0.433241,0.175353,-0.567482,0.305769,0.172917,-0.034374,1.133889,0.922245,-0.343428,0.54917,0.11224,0.645057,0.120159,0.237451,0.913368,0.848703,1.159266,0.382328,-0.175048,0.894582,0.897189,0.762722,0.145312,-0.001861,0.721184,0.081231,u2r
1.335354,0.051149,0.818243,0.06366,1.650452,1.44055,0.975062,1.311465,0.780508,0.468866,0.085598,1.1964,0.385776,1.976945,0.339437,1.295432,1.414201,0.237097,0.637653,0.736536,2.407171,0.729591,0.327817,1.061285,0.368618,0.812305,0.635277,1.073106,0.587455,0.526742,1.325569,0.970078,0.852708,-0.02623,1.119825,0.628201,0.965285,0.010068,0.964748,0.9269,0.736707,0.441287,1.36472,0.504058,1.249589,1.311221,0.465501,1.176624,4.196632,4.677336,3.968847,4.338206,4.424676,4.376772,4.561542,4.026045,0.591439,1.161229,0.654445,0.616227,0.46118,0.632981,0.377825,1.168185,apt
1.139237,0.525498,1.522507,1.1278,1.227682,0.651579,0.560349,0.854817,0.305781,1.052585,1.252767,0.528589,1.150394,0.954593,1.342311,1.579623,1.191786,0.814673,1.382596,0.861289,0.720503,0.565603,0.883992,1.292319,0.375832,0.281931,0.290868,1.299847,1.019205,1.503513,0.606452,0.289782,1.540643,0.509048,1.144139,0.239601,0.92135,0.766589,0.199222,1.691374,0.440248,0.41916,0.545539,-0.1406,0.69278,0.54566,1.286541,0.982171,3.819488,4.095987,5.360075,3.979655,4.760592,4.083954,3.93863,4.146159,1.501678,0.179691,1.13546,1.388747,0.591607,1.28866,1.218627,0.477041,apt
0.654392,0.364884,1.614575,0.263852,0.276424,0.87848,0.272837,0.120518,0.549903,0.885518,1.421916,1.513699,-0.229651,1.045394,0.133482,0.15592,0.333589,0.304932,0.095049,-0.469966,1.227659,0.981087,0.569485,0.141528,1.132786,0.548404,0.318179,-0.162871,0.819236,0.426572,0.694581,0.652953,4.113144,3.924982,3.690006,4.076854,4.255186,4.523192,3.323096,4.327836,-0.137175,1.033943,0.311703,0.95618,1.249186,0.68069,0.578695,0.55572,0.388237,1.105985,0.551499,-0.378862,0.997874,0.974238,0.619404,0.245301,0.077904,0.246591,0.689466,-0.229593,0.790987,0.632653,1.179273,0.915561,malware
2.336982,2.634178,1.773387,3.297507,2.690761,3.071547,2.984459,3.017416,0.116501,0.294702,-0.312578,-0.40703,0.074502,-0.185899,0.761459,0.288815,-0.202417,-0.002193,0.179853,0.089399,0.242286,0.150895,-0.505796,-0.847907,-0.048124,0.372222,-0.043066,0.676454,0.098901,0.730738,0.638357,0.593079,-0.42158,0.127713,0.670248,0.242555,0.369462,-0.504549,0.983455,-0.236118,-0.777491,-0.038007,-0.981368,-0.368306,1.27133,-0.051018,-0.522504,0.131384,-0.284012,0.509034,-0.280295,0.24183,-0.396177,1.289563,0.346631,0.054522,-0.011831,-0.12912,-0.222411,-0.234779,0.875248,-0.128676,-0.838239,-0.404685,dos
0.271437,0.650385,1.913096,1.375166,1.098096,0.604987,0.355383,0.800995,0.140944,1.131656,0.750802,0.827609,0.091108,0.862415,0.732428,0.409505,0.941006,0.660671,0.97261,1.118241,0.351826,0.888156,0.879668,1.399651,1.218447,0.683251,0.648424,0.907339,0.334365,0.401868,0.629449,-0.231741,0.394652,0.690485,2.080196,0.550141,1.137101,0.750864,1.037982,0.35287,0.144467,1.459808,0.241467,1.507632,0.673048,0.467821,0.607619,1.560979,4.075673,4.218057,4.82886,4.603188,5.324865,4.914388,4.076678,4.976156,-0.024992,1.186605,0.545398,1.108027,1.723587,0.088319,1.255312,1.218059,apt
1.08732,0.122257,0.14039,0.165573,0.18196,0.439146,0.102588,0.584135,-0.694229,0.582666,-0.010356,0.178767,0.189633,0.904428,0.70707,0.405506,0.158145,0.832295,1.287619,0.467402,-0.239243,0.163697,0.731647,0.280779,3.193587,3.174018,3.621255,2.889777,3.564404,3.61981,3.377715,3.110712,0.938282,-0.119751,0.557729,0.807489,0.551758,1.034032,-0.030928,0.124089,0.272445,1.960814,0.708512,0.792757,0.774007,0.515469,0.952247,-0.361637,0.604639,0.672698,0.938392,-0.040057,-0.00694,0.021505,0.715044,0.721463,0.052588,1.341424,0.608867,0.535893,0.386568,0.898722,0.655272,1.330433,u2r
-0.065592,-0.10317,0.798478,-0.048839,1.040577,0.190927,0.066047,0.260299,2.866016,3.546796,3.438615,3.529648,3.123034,2.83464,3.035921,2.848436,0.899968,0.691023,0.198815,-0.176914,0.933378,0.301508,0.181425,0.937344,0.010523,0.096483,0.136158,-0.352456,0.382081,-0.103055,-0.016825,-0.076996,-0.024182,-0.137512,0.351246,0.169983,0.261604,1.299205,0.169997,0.512226,0.563437,0.211715,0.36321,0.249314,0.331151,-0.023933,0.017605,0.247615,-0.647357,0.913233,1.212386,0.316658,0.539461,0.726476,-0.356101,0.657725,0.048102,1.270826,0.155283,0.648682,0.159714,1.228512,0.009442,0.76429,probe
2.913382,2.978912,2.562154,2.510049,3.231501,2.015871,2.255711,2.658711,0.727971,-0.048533,0.307268,0.132478,0.703316,-0.593125,0.451183,0.030495,0.536198,-0.248677,0.130977,0.073872,-0.331096,-0.456186,-0.141185,0.178469,-0.220611,-0.028533,-0.728609,-0.046792,0.580614,0.437331,0.080885,0.229644,-0.252717,0.850997,1.050493,0.194171,1.285809,-0.186082,-0.442986,-0.199331,0.021229,1.16043,-0.006522,-0.266845,-0.284306,0.63301,0.568786,-0.098465,-0.724103,-0.387867,0.89456,0.429964,0.149458,0.960975,1.001247,0.103827,0.112093,-0.141921,-0.008071,-0.548846,-0.550674,-0.655196,0.607952,-0.582631,dos
0.169875,0.796297,0.165307,0.519736,0.303568,0.380001,0.401867,0.159432,-0.19333,0.704759,1.077096,1.106647,0.111029,0.030073,0.110573,0.280873,3.286393,2.860932,2.644119,3.332474,1.721316,3.264704,2.884864,3.66107,0.831436,0.842061,0.204099,-0.150815,-0.006567,0.489425,-0.380639,0.987097,0.211216,0.585078,-0.441642,-0.056692,-0.497556,0.819535,0.287908,0.617087,0.388536,0.570814,0.208151,0.268404,0.31872,0.542534,0.554453,1.625147,1.116721,-0.440441,0.295603,0.177347,0.936059,0.217913,0.56893,-0.691678,-0.32112,1.301532,0.38261,-0.089307,0.469292,-0.113877,0.232482,-0.293678,r2l
-0.3014,0.912432,0.121982,1.052417,0.359424,0.468064,0.032863,0.87313,3.313795,3.689301,3.119894,3.018833,3.307809,3.689143,3.49753,3.102201,-0.595748,0.604674,-0.407417,0.255753,0.187905,-0.397996,0.407626,1.209443,0.099328,0.584646,1.30006,0.628176,-0.050179,0.346657,0.456351,0.885216,0.786323,-1.006448,-0.145292,0.208488,-0.216879,-1.425041,-0.086528,0.238375,0.003622,-0.208624,0.258659,0.39439,0.029131,0.857285,0.265971,-0.152181,-0.266042,0.144164,0.741039,-0.13066,0.508146,0.282551,1.136955,0.415613,-0.074202,0.571366,0.58651,0.061345,-0.283798,0.481216,0.268582,-0.442448,probe
2.759112,2.516748,2.766829,3.090504,2.5849,3.003285,2.404264,3.111573,-0.140958,0.503256,0.147439,0.804429,-0.39933,-0.54428,-0.157298,-0.503075,-0.502231,0.399698,0.11812,-0.095856,-0.054133,-0.148757,0.862666,-0.210978,-0.47496,0.478223,0.02291,1.037448,-0.116793,0.500693,0.606989,-0.114601,-0.214314,0.453615,0.378701,-0.514775,-0.387796,-1.021394,0.387924,0.002178,0.047032,-0.64115,-0.374146,-0.095082,-0.182547,0.173026,0.382561,1.141326,0.110992,0.621931,-0.253488,-0.633726,-0.038536,-0.598975,0.126603,-0.231204,-0.759422,0.901211,-0.121903,-0.616929,0.524177,-0.207876,0.610575,-0.210027,dos
0.412587,0.770718,0.888677,0.673616,1.094271,0.491798,0.42977,0.841777,0.942818,1.430367,1.044447,1.159237,0.684743,0.68779,0.554003,0.922262,0.905514,0.883578,0.748828,0.820813,1.585586,0.963448,1.102536,1.050992,0.761599,1.081594,0.849365,0.277369,0.578712,1.737073,1.365071,0.705511,1.143718,0.938411,1.624249,0.781685,0.941013,0.48132,0.779521,-0.393524,0.956868,1.291587,1.601505,1.056438,0.675573,0.470351,0.626111,0.120681,4.276676,3.838461,4.121248,4.298046,4.538216,3.646992,4.2356,4.69871,1.469887,0.806549,1.828738,1.155131,0.867752,1.399541,0.611808,0.368459,apt
0.325669,0.665524,0.880661,1.02728,0.186615,0.641941,-0.014174,0.43019,0.499233,0.064858,0.731598,0.40991,0.549466,1.031029,0.287545,0.862589,1.129295,1.101722,0.395339,0.042302,0.160531,-0.234007,0.788708,0.816639,3.632829,2.960739,3.415622,4.201117,3.854349,3.932372,5.068627,3.727634,-0.491394,-0.015495,0.6175,0.488433,0.402606,0.410506,0.127004,0.648216,1.107462,1.259552,1.246793,0.049815,0.470921,0.338772,0.746388,0.442787,0.378468,1.134561,0.52427,0.535883,0.665957,0.784287,0.78688,1.178462,-0.098527,0.626008,0.433929,0.344605,0.821001,1.063444,0.213708,1.239122,u2r
-0.084548,1.187661,1.010693,0.787502,0.700232,1.4867,1.163278,0.373062,0.850053,1.400353,1.082048,0.958061,0.253605,1.88101,1.164646,1.642559,0.975577,0.831794,0.550031,1.278851,1.513915,1.308597,1.855051,0.898976,0.560602,0.95578,1.201835,0.721755,0.820456,0.936224,1.062108,0.900659,0.934913,1.126158,1.185893,0.617248,0.013667,0.372798,1.047469,0.511131,0.959498,0.81424,0.870126,1.061109,1.375498,0.832509,0.371049,0.97994,4.710829,3.375853,4.064952,4.403157,4.173865,4.450507,4.109164,4.811685,0.863125,0.030103,1.169124,1.197706,0.823199,0.012282,1.245881,0.380092,apt
0.428612,-0.153619,-0.226044,0.664863,0.678262,0.151645,0.568181,0.660423,0.422966,0.044396,0.79261,0.736934,0.615456,-0.015179,-0.238965,0.394436,3.728307,3.778168,3.572972,3.107296,2.948107,3.30241,3.306677,3.808283,0.144129,0.181508,1.284746,1.05805,-0.037251,1.020938,-0.144847,0.164674,0.21589,0.325084,0.63889,0.407913,0.636627,0.179172,0.5284,0.395535,-0.264749,0.577355,0.403225,0.038741,0.168821,0.179856,0.249787,1.151531,1.300614,-0.866717,0.579678,0.789728,0.262765,0.777641,1.104375,-0.257329,0.420193,1.240536,-0.196994,0.308145,0.158221,0.833352,0.896061,0.433047,r2l
0.892592,1.110103,0.460463,1.097902,0.529433,-0.030297,0.451861,0.274784,0.768901,0.4714,0.657542,1.056398,1.268598,0.731716,1.088542,0.520285,-0.103422,0.069305,0.511931,0.958017,0.513208,1.133646,1.424242,0.200276,1.556187,-0.135635,1.431975,0.584914,0.49522,0.596391,0.240014,1.2757,3.538598,3.59597,3.229337,3.521201,3.53489,3.504687,3.770933,3.348362,1.317534,0.53124,0.768315,0.987806,1.511222,1.009447,0.488476,0.117268,0.752143,1.078033,0.663869,0.629347,0.696068,-0.241404,0.665911,0.929524,0.579443,1.105579,1.120599,0.373246,0.798805,0.61924,-0.31284,0.515766,malware
